DMA_Name,Channel_Name,Provider_Name,Channel_Genre,Package_Name
"Portland, ME",HBO,AT&T DirecTV,Premium,SELECT
"Portland, ME",Starz,AT&T DirecTV,Premium,SELECT
"Portland, ME",Showtime,AT&T DirecTV,Premium,SELECT
"Portland, ME",Cinemax,AT&T DirecTV,Premium,SELECT
"Portland, ME",USA Network,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",TNT,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",Investigation Discovery,AT&T DirecTV,Educational,SELECT
"Portland, ME",ESPN,AT&T DirecTV,Sports,SELECT
"Portland, ME",ESPN2,AT&T DirecTV,Sports,SELECT
"Portland, ME",Fox Sports 1,AT&T DirecTV,Sports,SELECT
"Portland, ME",Canal Once,AT&T DirecTV,Multicultural,SELECT
"Portland, ME",The Weather Channel,AT&T DirecTV,Informational,SELECT
"Portland, ME",Nicktoons,AT&T DirecTV,Family,SELECT
"Portland, ME",UP,AT&T DirecTV,Religious,SELECT
"Portland, ME",POP,AT&T DirecTV,Informational,SELECT
"Portland, ME",FXX,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",Oxygen,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",American Heroes Channel,AT&T DirecTV,Educational,SELECT
"Portland, ME",Boomerang,AT&T DirecTV,Family,SELECT
"Portland, ME",ESPN Classic,AT&T DirecTV,Sports,SELECT
"Portland, ME",WE tv,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",A&E,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",FX,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",Freeform,AT&T DirecTV,Family,SELECT
"Portland, ME",Syfy,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",Animal Planet,AT&T DirecTV,Educational,SELECT
"Portland, ME",Disney Junior,AT&T DirecTV,Family,SELECT
"Portland, ME",Ovation,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",RFD-TV,AT&T DirecTV,Public Interest,SELECT
"Portland, ME",NASA TV,AT&T DirecTV,Informational,SELECT
"Portland, ME",God TV,AT&T DirecTV,Religious,SELECT
"Portland, ME",Hope Channel,AT&T DirecTV,Religious,SELECT
"Portland, ME",Daystar,AT&T DirecTV,Religious,SELECT
"Portland, ME",Fuse,AT&T DirecTV,Music,SELECT
"Portland, ME",CNBC World,AT&T DirecTV,News,SELECT
"Portland, ME",Discovery Family Channel,AT&T DirecTV,Educational,SELECT
"Portland, ME",FYI,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",Logo,AT&T DirecTV,Lifestyle,SELECT
"Portland, ME",Sportsman Channel,AT&T DirecTV,Sports,SELECT
"Portland, ME",MTV Classic,AT&T DirecTV,Music,SELECT
"Portland, ME",Outdoor Channel,AT&T DirecTV,Sports,SELECT
"Portland, ME",DOGTV,AT&T DirecTV,Lifestyle,SELECT
"Portland, ME",Fox Soccer Plus,AT&T DirecTV,Sports,SELECT
"Portland, ME",INCTV,AT&T DirecTV,Religious,SELECT
"Portland, ME",Mediaset Italia,AT&T DirecTV,Multicultural,SELECT
"Portland, ME",TV One,AT&T DirecTV,Multicultural,SELECT
"Portland, ME",Gem Shopping Network,AT&T DirecTV,Shopping,SELECT
"Portland, ME",World Harvest Television,AT&T DirecTV,Religious,SELECT
"Portland, ME",ESPNews,AT&T DirecTV,Sports,SELECT
"Portland, ME",Jewelry Television,AT&T DirecTV,Shopping,SELECT
"Portland, ME",QVC,AT&T DirecTV,Shopping,SELECT
"Portland, ME",Viceland,AT&T DirecTV,Educational,SELECT
"Portland, ME",Pursuit Channel,AT&T DirecTV,Sports,SELECT
"Portland, ME",AXS TV,AT&T DirecTV,Entertainment,SELECT
"Portland, ME",Arirang TV,AT&T DirecTV,Multicultural,SELECT
"Portland, ME",Home Shopping Network,AT&T DirecTV,Shopping,SELECT
"Portland, ME",Free Speech TV,AT&T DirecTV,News,SELECT
"Portland, ME",PFC,AT&T DirecTV,Multicultural,SELECT
"Portland, ME",HBO,AT&T DirecTV,Premium,ENTERTAINMENT
"Portland, ME",Starz,AT&T DirecTV,Premium,ENTERTAINMENT
"Portland, ME",Showtime,AT&T DirecTV,Premium,ENTERTAINMENT
"Portland, ME",Cinemax,AT&T DirecTV,Premium,ENTERTAINMENT
"Portland, ME",USA Network,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",TNT,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",Investigation Discovery,AT&T DirecTV,Educational,ENTERTAINMENT
"Portland, ME",ESPN,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",ESPN2,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",Fox Sports 1,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",Canal Once,AT&T DirecTV,Multicultural,ENTERTAINMENT
"Portland, ME",The Weather Channel,AT&T DirecTV,Informational,ENTERTAINMENT
"Portland, ME",Nicktoons,AT&T DirecTV,Family,ENTERTAINMENT
"Portland, ME",UP,AT&T DirecTV,Religious,ENTERTAINMENT
"Portland, ME",POP,AT&T DirecTV,Informational,ENTERTAINMENT
"Portland, ME",FXX,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",Oxygen,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",American Heroes Channel,AT&T DirecTV,Educational,ENTERTAINMENT
"Portland, ME",Boomerang,AT&T DirecTV,Family,ENTERTAINMENT
"Portland, ME",ESPN Classic,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",WE tv,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",A&E,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",FX,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",Freeform,AT&T DirecTV,Family,ENTERTAINMENT
"Portland, ME",Syfy,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",Animal Planet,AT&T DirecTV,Educational,ENTERTAINMENT
"Portland, ME",Disney Junior,AT&T DirecTV,Family,ENTERTAINMENT
"Portland, ME",Ovation,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",RFD-TV,AT&T DirecTV,Public Interest,ENTERTAINMENT
"Portland, ME",NASA TV,AT&T DirecTV,Informational,ENTERTAINMENT
"Portland, ME",God TV,AT&T DirecTV,Religious,ENTERTAINMENT
"Portland, ME",Hope Channel,AT&T DirecTV,Religious,ENTERTAINMENT
"Portland, ME",Daystar,AT&T DirecTV,Religious,ENTERTAINMENT
"Portland, ME",Fuse,AT&T DirecTV,Music,ENTERTAINMENT
"Portland, ME",CNBC World,AT&T DirecTV,News,ENTERTAINMENT
"Portland, ME",Discovery Family Channel,AT&T DirecTV,Educational,ENTERTAINMENT
"Portland, ME",FYI,AT&T DirecTV,Entertainment,ENTERTAINMENT
"Portland, ME",Logo,AT&T DirecTV,Lifestyle,ENTERTAINMENT
"Portland, ME",Sportsman Channel,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",MTV Classic,AT&T DirecTV,Music,ENTERTAINMENT
"Portland, ME",Outdoor Channel,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",DOGTV,AT&T DirecTV,Lifestyle,ENTERTAINMENT
"Portland, ME",Fox Soccer Plus,AT&T DirecTV,Sports,ENTERTAINMENT
"Portland, ME",INCTV,AT&T DirecTV,Religious,ENTERTAINMENT
