DMA,DMA Code,Zip Code
"Portland, ME",500,04992
"New York, NY",501,10301
"Philadelphia, PA",504,19114
"Detroit, MI",505,49270
"Boston, MA",506,02121
"Savannah, GA",507,31599
"Pittsburgh, PA",508,15204
"Cleveland, OH",510,44907
"Washington, DC",511,20010
"Baltimore, MD",512,21114
"Flint, MI",513,49310
"Buffalo, NY",514,14068
"Cincinnati, OH",515,47353
"Charlotte, NC",517,29745
"Greensboro, NC",518,28697
"Charleston, SC",519,29929
"Providence, RI",521,02920
"Burlington, VT",523,13655
"Atlanta, GA",524,39901
"Indianapolis, IN",527,47997
"Miami, FL",528,34141
"Louisville, KY",529,47469
"Tri-Cities, TN",531,41858
"Albany, NY",532,12054
"Hartford, CT",533,06798
"Orlando, FL",534,34797
"Columbus, OH",535,45859
"Rochester, NY",538,14857
"Tampa, FL",539,34759
"Lexington, KY",541,42642
"Dayton, OH",542,47393
"Springfield, MA",543,01521
"Norfolk, VA",544,23322
"Greenville, NC",545,28594
"Columbia, SC",546,29432
"Toledo, OH",547,49289
"West Palm Beach, FL",548,34997
"Syracuse, NY",555,13209
"Richmond, VA",556,23229
"Knoxville, TN",557,42653
"Raleigh, NC",560,28578
"Jacksonville, FL",561,32697
"Grand Rapids, MI",563,49599
"Charleston, WV",564,45783
"Harrisburg, PA",566,17011
"Greenville, SC",567,30662
"Ft. Myers, FL",571,34269
"Roanoke, VA",573,26291
"Chattanooga, TN",575,37880
"Wilkes Barre, PA",577,19549
"South Bend, IN",588,49130
"Chicago, IL",602,61373
"St. Louis, MO",609,65586
"Shreveport, LA",612,75975
"Minneapolis, MN",613,56687
"Kansas City, MO",616,66767
"Milwaukee, WI",617,53963
"Houston, TX",618,78962
"New Orleans, LA",622,70792
"Dallas, TX",623,76693
"Waco, TX",625,77882
"Wichita Falls, TX",627,79252
"Birmingham, AL",630,36793
"Paducah, KY",632,63967
"Austin, TX",635,78963
"Harlingen, TX",636,78599
"Cedar Rapids, IA",637,52772
"Memphis, TN",640,72479
"San Antonio, TX",641,78959
"Champaign, IL",648,62796
"Oklahoma City, OK",650,74884
"Omaha, NE",652,68791
"Green Bay, WI",658,54990
"Nashville, TN",659,42759
"Madison, WI",669,54960
"Ft. Smith, AR",670,74966
"Tulsa, OK",671,74965
"Des Moines, IA",679,52595
"Mobile, AL",686,39461
"Huntsville, AL",691,38488
"Little Rock, AR",693,72860
"Baton Rouge, LA",716,70898
"Jackson, MS",718,39668
"Honolulu, HI",744,96898
"Denver, CO",751,82840
"Colorado Springs, CO",752,81290
"Phoenix, AZ",753,86520
"El Paso, TX",765,88595
"Salt Lake City, UT",770,89883
"Tucson, AZ",789,85775
"Albuquerque, NM",790,88439
"Los Angeles, CA",803,93599
"San Francisco, CA",807,95587
"Seattle, WA",819,98858
"Portland, OR",820,99356
"San Diego, CA",825,92199
"Las Vegas, NV",839,89409
"Sacramento, CA",862,96162
"Fresno, CA",866,95389
"Spokane, WA",881,99403
